entry,stratum,primary_outcome,condition_label,experiment_run_id,condition_id,metric,unit,population,numerator,denominator,estimate,mcse,lower,upper,interval_method,confidence_level,uncertainty_unavailable_reason
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,delta_signed_eq2,probability,all_patients,0,2000,0.0,0.0,0.0,0.0019170472812529344,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,delta_evaluable_eq2,probability,acute_and_baseline_evaluable,0,2000,0.0,0.0,0.0,0.0019170472812529344,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,delta_signed_eq3,probability,all_patients,0,2000,0.0,0.0,0.0,0.0019170472812529344,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,delta_evaluable_eq3,probability,acute_and_baseline_evaluable,0,2000,0.0,0.0,0.0,0.0019170472812529344,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,delta_signed_eq4,probability,all_patients,0,2000,0.0,0.0,0.0,0.0019170472812529344,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,delta_evaluable_eq4,probability,acute_and_baseline_evaluable,0,2000,0.0,0.0,0.0,0.0019170472812529344,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,baseline_score,score,all_patients,,2000,2.0,0.0,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,scheduled_oxygenation_count,records,nonmissing:scheduled_oxygenation_count,,2000,96.0,0.0,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,recorded_oxygenation_count,records,nonmissing:recorded_oxygenation_count,,2000,96.0,0.0,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,convertible_oxygenation_count,records,nonmissing:convertible_oxygenation_count,,2000,51.7315,0.18879493011683052,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,denominator_linked_count,records,nonmissing:denominator_linked_count,,2000,51.7315,0.18879493011683052,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,eligible_oxygenation_count,records,nonmissing:eligible_oxygenation_count,,2000,51.7315,0.18879493011683052,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,baseline_scheduled_count,records,nonmissing:baseline_scheduled_count,,2000,24.0,0.0,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,baseline_window_scheduled_count,records,nonmissing:baseline_window_scheduled_count,,2000,24.0,0.0,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,selected_day_scheduled_count,records,nonmissing:selected_day_scheduled_count,,2000,24.0,0.0,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,selected_day_qualifying_count,records,nonmissing:selected_day_qualifying_count,,2000,13.166,0.09229019850650547,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,eligible_observation_fraction,fraction,nonmissing:eligible_observation_fraction,,2000,0.5388697916666666,0.0019666138553836505,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,mean_fio2_source_age_minutes,minutes,nonmissing:mean_fio2_source_age_minutes,,2000,0.0,0.0,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,mean_fio2_value_age_minutes,minutes,nonmissing:mean_fio2_value_age_minutes,,2000,0.0,0.0,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,mean_synthetic_fio2_error_fraction,fraction,nonmissing:mean_synthetic_fio2_error_fraction,,2000,0.0,0.0,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,sofa_eligibility_C0,probability,all_patients,0,2000,0.0,0.0,0.0,0.0019170472812529344,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,sofa_eligibility_evaluable_C0,probability,acute_and_baseline_evaluable,0,2000,0.0,0.0,0.0,0.0019170472812529344,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,sofa_eligibility_C1,probability,all_patients,0,2000,0.0,0.0,0.0,0.0019170472812529344,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,sofa_eligibility_evaluable_C1,probability,acute_and_baseline_evaluable,0,2000,0.0,0.0,0.0,0.0019170472812529344,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,sofa_eligibility_Cge2,probability,all_patients,2000,2000,1.0,0.0,0.9980829527187471,1.0,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,sofa_eligibility_evaluable_Cge2,probability,all_patients,2000,2000,1.0,0.0,0.9980829527187471,1.0,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h across scoring-day boundary,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,b289437bb8a53fb2ec883f0fc767a8c8823d8f538c384b5aa386c2e04903a158,score_ge1,probability,all_patients,2000,2000,1.0,0.0,0.9980829527187471,1.0,wilson,0.95,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h across scoring-day boundary,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,b289437bb8a53fb2ec883f0fc767a8c8823d8f538c384b5aa386c2e04903a158,score_ge2,probability,all_patients,2000,2000,1.0,0.0,0.9980829527187471,1.0,wilson,0.95,
