profile,support,pf_mmhg,records,raw_rubric,score,status
bounded_analysis_v2,HFNC,200,1,2,0,suppressed_only
bounded_analysis_v2,HFNC,200,2,2,2,observed_scored
bounded_analysis_v2,HFNC,200.001,1,2,0,suppressed_only
bounded_analysis_v2,HFNC,200.001,2,2,2,observed_scored
bounded_analysis_v2,HFNC,299.999,1,1,0,suppressed_only
bounded_analysis_v2,HFNC,299.999,2,1,1,observed_scored
bounded_analysis_v2,HFNC,300,1,1,0,suppressed_only
bounded_analysis_v2,HFNC,300,2,1,1,observed_scored
bounded_analysis_v2,HFNC,300.001,1,1,0,suppressed_only
bounded_analysis_v2,HFNC,300.001,2,1,1,observed_scored
bounded_analysis_v2,HFNC,399.999,1,0,0,observed_scored
bounded_analysis_v2,HFNC,399.999,2,0,0,observed_scored
bounded_analysis_v2,HFNC,400,1,0,0,observed_scored
bounded_analysis_v2,HFNC,400,2,0,0,observed_scored
bounded_analysis_v2,HFNC,400.001,1,0,0,observed_scored
bounded_analysis_v2,HFNC,400.001,2,0,0,observed_scored
bounded_analysis_v2,NIPPV,99.999,1,3,3,observed_scored
bounded_analysis_v2,NIPPV,99.999,2,3,3,observed_scored
bounded_analysis_v2,NIPPV,100,1,3,3,observed_scored
bounded_analysis_v2,NIPPV,100,2,3,3,observed_scored
bounded_analysis_v2,NIPPV,100.001,1,3,3,observed_scored
bounded_analysis_v2,NIPPV,100.001,2,3,3,observed_scored
bounded_analysis_v2,NIPPV,199.999,1,2,2,observed_scored
bounded_analysis_v2,NIPPV,199.999,2,2,2,observed_scored
bounded_analysis_v2,NIPPV,200,1,2,2,observed_scored
bounded_analysis_v2,NIPPV,200,2,2,2,observed_scored
bounded_analysis_v2,NIPPV,200.001,1,2,2,observed_scored
bounded_analysis_v2,NIPPV,200.001,2,2,2,observed_scored
bounded_analysis_v2,NIPPV,299.999,1,1,1,observed_scored
bounded_analysis_v2,NIPPV,299.999,2,1,1,observed_scored
bounded_analysis_v2,NIPPV,300,1,1,1,observed_scored
bounded_analysis_v2,NIPPV,300,2,1,1,observed_scored
bounded_analysis_v2,NIPPV,300.001,1,1,1,observed_scored
bounded_analysis_v2,NIPPV,300.001,2,1,1,observed_scored
bounded_analysis_v2,NIPPV,399.999,1,0,0,observed_scored
bounded_analysis_v2,NIPPV,399.999,2,0,0,observed_scored
bounded_analysis_v2,NIPPV,400,1,0,0,observed_scored
bounded_analysis_v2,NIPPV,400,2,0,0,observed_scored
bounded_analysis_v2,NIPPV,400.001,1,0,0,observed_scored
bounded_analysis_v2,NIPPV,400.001,2,0,0,observed_scored
bounded_analysis_v2,SURG IMV,99.999,1,3,0,suppressed_only
bounded_analysis_v2,SURG IMV,99.999,2,3,2,observed_scored
bounded_analysis_v2,SURG IMV,100,1,3,0,suppressed_only
bounded_analysis_v2,SURG IMV,100,2,3,2,observed_scored
bounded_analysis_v2,SURG IMV,100.001,1,3,0,suppressed_only
bounded_analysis_v2,SURG IMV,100.001,2,3,2,observed_scored
bounded_analysis_v2,SURG IMV,199.999,1,2,0,suppressed_only
bounded_analysis_v2,SURG IMV,199.999,2,2,2,observed_scored
bounded_analysis_v2,SURG IMV,200,1,2,0,suppressed_only
bounded_analysis_v2,SURG IMV,200,2,2,2,observed_scored
bounded_analysis_v2,SURG IMV,200.001,1,2,0,suppressed_only
bounded_analysis_v2,SURG IMV,200.001,2,2,2,observed_scored
bounded_analysis_v2,SURG IMV,299.999,1,1,0,suppressed_only
bounded_analysis_v2,SURG IMV,299.999,2,1,1,observed_scored
bounded_analysis_v2,SURG IMV,300,1,1,0,suppressed_only
bounded_analysis_v2,SURG IMV,300,2,1,1,observed_scored
bounded_analysis_v2,SURG IMV,300.001,1,1,0,suppressed_only
bounded_analysis_v2,SURG IMV,300.001,2,1,1,observed_scored
bounded_analysis_v2,SURG IMV,399.999,1,0,0,observed_scored
bounded_analysis_v2,SURG IMV,399.999,2,0,0,observed_scored
bounded_analysis_v2,SURG IMV,400,1,0,0,observed_scored
bounded_analysis_v2,SURG IMV,400,2,0,0,observed_scored
bounded_analysis_v2,SURG IMV,400.001,1,0,0,observed_scored
bounded_analysis_v2,SURG IMV,400.001,2,0,0,observed_scored
bounded_analysis_v2,IMV,99.999,1,3,3,observed_scored
bounded_analysis_v2,IMV,99.999,2,3,3,observed_scored
bounded_analysis_v2,IMV,100,1,3,3,observed_scored
bounded_analysis_v2,IMV,100,2,3,3,observed_scored
bounded_analysis_v2,IMV,100.001,1,3,3,observed_scored
bounded_analysis_v2,IMV,100.001,2,3,3,observed_scored
bounded_analysis_v2,IMV,199.999,1,2,2,observed_scored
bounded_analysis_v2,IMV,199.999,2,2,2,observed_scored
bounded_analysis_v2,IMV,200,1,2,2,observed_scored
bounded_analysis_v2,IMV,200,2,2,2,observed_scored
bounded_analysis_v2,IMV,200.001,1,2,2,observed_scored
bounded_analysis_v2,IMV,200.001,2,2,2,observed_scored
bounded_analysis_v2,IMV,299.999,1,1,1,observed_scored
bounded_analysis_v2,IMV,299.999,2,1,1,observed_scored
bounded_analysis_v2,IMV,300,1,1,1,observed_scored
bounded_analysis_v2,IMV,300,2,1,1,observed_scored
bounded_analysis_v2,IMV,300.001,1,1,1,observed_scored
bounded_analysis_v2,IMV,300.001,2,1,1,observed_scored
bounded_analysis_v2,IMV,399.999,1,0,0,observed_scored
bounded_analysis_v2,IMV,399.999,2,0,0,observed_scored
bounded_analysis_v2,IMV,400,1,0,0,observed_scored
bounded_analysis_v2,IMV,400,2,0,0,observed_scored
bounded_analysis_v2,IMV,400.001,1,0,0,observed_scored
bounded_analysis_v2,IMV,400.001,2,0,0,observed_scored
