entry,stratum,primary_outcome,condition_label,common_pair_comparator_estimate,common_pair_variant_estimate,common_pair_comparator_numerator,common_pair_variant_numerator,common_pair_denominator,experiment_run_id,condition_id,comparator_id,metric,unit,population,direction,n_plus,n_minus,denominator,estimate,percentage_point_difference,mcse,lower,upper,interval_method,confidence_level,uncertainty_unavailable_reason,structural_identity
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,96.0,96.0,,,2000,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,scheduled_oxygenation_count,records,nonmissing:scheduled_oxygenation_count,variant_minus_comparator,,,2000,0.0,,0.0,,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,96.0,96.0,,,2000,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,recorded_oxygenation_count,records,nonmissing:recorded_oxygenation_count,variant_minus_comparator,,,2000,0.0,,0.0,,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,51.7315,51.7315,,,2000,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,convertible_oxygenation_count,records,nonmissing:convertible_oxygenation_count,variant_minus_comparator,,,2000,0.0,,0.0,,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,51.7315,51.7315,,,2000,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,denominator_linked_count,records,nonmissing:denominator_linked_count,variant_minus_comparator,,,2000,0.0,,0.0,,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,51.7315,51.7315,,,2000,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,eligible_oxygenation_count,records,nonmissing:eligible_oxygenation_count,variant_minus_comparator,,,2000,0.0,,0.0,,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,24.0,24.0,,,2000,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,baseline_scheduled_count,records,nonmissing:baseline_scheduled_count,variant_minus_comparator,,,2000,0.0,,0.0,,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,24.0,24.0,,,2000,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,baseline_window_scheduled_count,records,nonmissing:baseline_window_scheduled_count,variant_minus_comparator,,,2000,0.0,,0.0,,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,24.0,24.0,,,2000,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,selected_day_scheduled_count,records,nonmissing:selected_day_scheduled_count,variant_minus_comparator,,,2000,0.0,,0.0,,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,13.166,13.166,,,2000,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,selected_day_qualifying_count,records,nonmissing:selected_day_qualifying_count,variant_minus_comparator,,,2000,0.0,,0.0,,,,,,
H_alignment_experimental,hfnc,delta_evaluable_ge1,6h within scoring day,0.5388697916666666,0.5388697916666666,,,2000,3b87a9e8263360182b4c2d2b2744e750a591381e019b6f590902698fa0a9925e,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,080c9dcdaa95939459820b455a68da11298dd8f31e2d476e3f4c69bdd55d4ef6,eligible_observation_fraction,fraction,nonmissing:eligible_observation_fraction,variant_minus_comparator,,,2000,0.0,,0.0,,,,,,
